i9_health,i1_health,i2_health,i7a_health,i5_health_1,i5_health_2,i5_health_3,i5_health_4,i5_health_5,i10_health,i11_health,i12_health_1,i12_health_2,i12_health_3,i12_health_4,i12_health_5,i12_health_6,i12_health_7,i12_health_8,i12_health_11,i12_health_15,i12_health_16,i12_health_17,i12_health_18,i12_health_19,i12_health_20,i13_health,weight,age,household_size,household_children,employment_status,gender_Female,gender_Male
1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,1.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,4.0,4.0,1.0,1.0,1.0,5.0,5.0,10.0,0.989491771,64.0,0.0,1.0,0.0,1.0,0.0
1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,1.0,4.0,1.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,1.0,1.0,2.0,5.0,4.0,0.9929099579999999,22.0,0.0,0.0,1.0,1.0,0.0
1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,1.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,1.001755838,44.0,1.0,1.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,4.0,5.0,8.0,1.00373915,72.0,0.0,0.0,0.0,1.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,5.0,3.0,3.0,3.0,5.0,4.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,1.012842322,33.0,0.0,1.0,1.0,0.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,0.0,1.00373915,56.0,0.0,0.0,0.0,1.0,0.0
1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,1.0,5.0,3.0,5.0,5.0,2.0,5.0,5.0,1.0,4.0,2.0,1.0,1.0,2.0,3.0,20.0,0.997902253,70.0,0.0,0.0,0.0,0.0,1.0
1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,1.0,4.0,4.0,5.0,5.0,4.0,1.0,5.0,5.0,4.0,5.0,1.0,1.0,4.0,4.0,10.0,0.99819705,46.0,1.0,1.0,1.0,0.0,1.0
1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,6.0,0.99605392,68.0,0.0,0.0,0.0,0.0,1.0
1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,1.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,1.0,5.0,4.0,2.0,8.0,0.984803161,54.0,0.0,0.0,1.0,1.0,0.0
